filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE6141.json,$[4].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[4].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[5].metadata.enum[1],value_mismatch, 2,str,2,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[5].metadata.enum[2],value_mismatch, 3,str,3,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[5].metadata.enum[3],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[5].metadata.enum[4],value_mismatch, 92,str,92,str,"[
  ""1"",
  "" 2"",
  "" 3"",
  "" 4"",
  "" 92""
]","[
  ""1"",
  ""2"",
  ""3"",
  ""4"",
  ""92""
]"
HDPCDE6141.json,$[6].metadata.enum[1],value_mismatch, 4,str,4,str,"[
  ""1"",
  "" 4""
]","[
  ""1"",
  ""4""
]"
HDPCDE6456.json,$[15].name,value_mismatch,Cumulative Illness Rating Scale ,str,Cumulative Illness Rating Scale,str,"{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE6456"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE6456"",
  ""name"": ""Cumulative Illness Rating Scale "",
  ""description"": """",
  ""action"": ""https://www.nih.gov/sites/default/files/CDEs/2026-01/cgic-cde.xlsx""
}","{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE6456"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE6456"",
  ""name"": ""Cumulative Illness Rating Scale"",
  ""description"": """",
  ""variable_list"": [
    ""ciheart"",
    ""cihyper"",
    ""civaslar"",
    ""ciresp"",
    ""cient"",
    ""ciupgi"",
    ""cilowgi"",
    ""cihepa"",
    ""cirenal"",
    ""ciothgi"",
    ""cimuscle"",
    ""cineuro"",
    ""ciendo"",
    ""cipsych"",
    ""ciTotalScore""
  ],
  ""metadata"": {},
  ""action"": ""https://www.nih.gov/sites/default/files/CDEs/2"
HDPCDE6546.json,$[0].metadata.enum[1],value_mismatch, 1,str,1,str,"[
  ""0"",
  "" 1""
]","[
  ""0"",
  ""1""
]"
HDPCDE6546.json,$[1].metadata.enum[1],value_mismatch, 1,str,1,str,"[
  ""0"",
  "" 1""
]","[
  ""0"",
  ""1""
]"
HDPCDE6546.json,$[2].metadata.enum[1],value_mismatch, 1,str,1,str,"[
  ""0"",
  "" 1""
]","[
  ""0"",
  ""1""
]"
HDPCDE6546.json,$[3].metadata.enum[1],value_mismatch, 1,str,1,str,"[
  ""0"",
  "" 1""
]","[
  ""0"",
  ""1""
]"
