filename,location,difference_type,dug_2026jan_value,dug_2026jan_type,heal_cdes_value,heal_cdes_type,dug_2026jan_context,heal_cdes_context
HDPCDE00001.json,$[22].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[23].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[24].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[25].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[26].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[27].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[28].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[29].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,{},"{
  ""crf_name"": ""Demographics Adult""
}"
HDPCDE00001.json,$[30].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""0"",
    ""1""
  ],
  ""permissible_values"": {
    ""0"": ""Unchecked"",
    ""1"": ""Checked""
  }
}"
HDPCDE00001.json,$[31].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7""
  ],
  ""permissible_values"": {
    ""1"": ""English"",
    ""2"": ""Spanish"",
    ""3"": ""Swedish"",
    ""4"": ""Korean"",
    ""5"": ""Japanese"",
    ""6"": ""Traditional Chinese"",
    ""7"": ""Simplified Chinese""
  }
}","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7""
  ],
  ""permissible_values"": {
    ""1"": ""English"",
    ""2"": ""Spanish"",
    ""3"": ""Swedish"",
    ""4"": ""Korean"",
    ""5"": ""Japanese"",
    ""6"": ""Traditional Chinese"",
    ""7"": ""Simplified Chinese""
  }
}"
HDPCDE00001.json,$[32].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7"",
    ""8"",
    ""9"",
    ""10"",
    ""99""
  ],
  ""permissible_values"": {
    ""1"": ""Metropolitan area core= primary flow within an urbanized area (UA)"",
    ""2"": ""Metropolitan area high commuting= primary flow 30% or more to a UA"",
    ""3"": ""Metropolitan area low commuting= primary flow 10% to 30% to a UA"",
    ""4"": ""Micropolitan area core= primary flow within an Urban Cluster of 10,000 to 49,999 (large UC)"",
    ""5"": ""Microp","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""2"",
    ""3"",
    ""4"",
    ""5"",
    ""6"",
    ""7"",
    ""8"",
    ""9"",
    ""10"",
    ""99""
  ],
  ""permissible_values"": {
    ""1"": ""Metropolitan area core= primary flow within an urbanized area (UA)"",
    ""2"": ""Metropolitan area high commuting= primary flow 30% or more to a UA"",
    ""3"": ""Metropolitan area low commuting= primary flow 10% to 30% to a UA"",
    ""4"": ""Micropolitan area core= primary flow within an Urban Cluster of 10,000 to "
HDPCDE00001.json,$[33].metadata.crf_name,key_only_in_dir2,<missing>,N/A,"""Demographics Adult""",str,"{
  ""enum"": [
    ""1"",
    ""1.1"",
    ""2"",
    ""2.1"",
    ""3"",
    ""4"",
    ""4.1"",
    ""5"",
    ""5.1"",
    ""6"",
    ""7"",
    ""7.1"",
    ""7.2"",
    ""8"",
    ""8.1"",
    ""8.2"",
    ""9"",
    ""10"",
    ""10.1"",
    ""10.2"",
    ""10.3"",
    ""99""
  ],
  ""permissible_values"": {
    ""1"": ""Metropolitan area core= primary flow within an urbanized area (UA) [No additional code]"",
    ""2"": ""Metropolitan area high commuting= primary flow 30% or more to a UA [No additional code]"",
    ""3"": ""Metropolitan area low","{
  ""crf_name"": ""Demographics Adult"",
  ""enum"": [
    ""1"",
    ""1.1"",
    ""2"",
    ""2.1"",
    ""3"",
    ""4"",
    ""4.1"",
    ""5"",
    ""5.1"",
    ""6"",
    ""7"",
    ""7.1"",
    ""7.2"",
    ""8"",
    ""8.1"",
    ""8.2"",
    ""9"",
    ""10"",
    ""10.1"",
    ""10.2"",
    ""10.3"",
    ""99""
  ],
  ""permissible_values"": {
    ""1"": ""Metropolitan area core= primary flow within an urbanized area (UA) [No additional code]"",
    ""2"": ""Metropolitan area high commuting= primary flow 30% or more to a UA [No additional cod"
HDPCDE00001.json,$[34].urls,key_only_in_dir2,<missing>,N/A,"[{""url"": """", ""filename"": """", ""lang"": ""en"", ""mime-type"": ""application/octet-stream"", ""description"": null, ""drupal_id"": null}]",list,"{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE00001"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE00001"",
  ""name"": ""Demographics Adult"",
  ""description"": """",
  ""action"": """"
}","{
  ""type"": ""section"",
  ""is_crf"": true,
  ""id"": ""HDPCDE00001"",
  ""parents"": [],
  ""crf_id"": ""HDPCDE00001"",
  ""name"": ""Demographics Adult"",
  ""description"": """",
  ""variable_list"": [
    ""BRTHDTC"",
    ""Age"",
    ""AgeU"",
    ""Sex"",
    ""ETHNIC"",
    ""AI_AN\n\n\n\n\n\n"",
    ""Asian"",
    ""Bl_AA"",
    ""NH_PI"",
    ""White"",
    ""Unkn"",
    ""Not_Rep"",
    ""EDULEVEL"",
    ""EMPSTAT"",
    ""MARISTAT"",
    ""INCMLVL"",
    ""DISABINSIND"",
    ""PAINDUR"",
    ""PAINDUR_acute"",
    ""SDOH_Childcare"",
    ""SDOH_Cl"
